#PMW Filter Profile
# wavelength [um]   transmission 
#----------------- --------------
280.6229144334790  4.2375084e-03
280.2265435457230  4.0103430e-03
279.8312902450560  3.7595301e-03
279.4371731579300  3.5491628e-03
279.0441736578940  3.4920853e-03
278.6522544920440  3.4687498e-03
278.2614342868330  3.4593227e-03
277.8717130422590  3.4566477e-03
277.4830721318720  3.4143277e-03
277.0955115556720  3.3595099e-03
276.7090499401090  3.3273227e-03
276.3236872851850  3.3066552e-03
275.9393677115440  3.2925813e-03
275.5561098456380  3.2597329e-03
275.1739323139190  3.1190857e-03
274.7927978634830  2.9657744e-03
274.4127251207830  2.8011398e-03
274.0337140858170  2.6159920e-03
273.6557461321350  2.4557109e-03
273.2788026332860  2.2778162e-03
272.9029022157190  2.1154869e-03
272.5280262529850  1.9739410e-03
272.1541933715340  1.8254207e-03
271.7814035713670  1.6579380e-03
271.4096009731290  1.5160877e-03
271.0388228297230  1.3919257e-03
270.6690505146980  1.2743726e-03
270.3002840280530  1.1612364e-03
269.9325233697890  1.0657250e-03
269.5657685399060  9.7491039e-04
269.2000381648540  9.0225314e-04
268.8352577388290  8.3493139e-04
268.4714645147320  7.7480171e-04
268.1086584925650  7.2838023e-04
267.7468396723270  6.7216961e-04
267.3859894275670  6.1287114e-04
267.0261450111870  5.6487921e-04
266.6672319173810  5.2697194e-04
266.3092873990540  4.8524028e-04
265.9523114562030  4.4371746e-04
265.5962668359280  4.1412265e-04
265.2411907911300  3.7982111e-04
264.8870646953580  3.4167283e-04
264.5339071750640  3.0912567e-04
264.1816623508930  2.7873248e-04
263.8303488492970  2.5099100e-04
263.4799666702750  2.2071773e-04
263.1305344402790  1.9310313e-04
262.7820149064060  1.7870525e-04
262.4344453215600  1.6645258e-04
262.0877511799340  1.5184880e-04
261.7419883608820  1.4144197e-04
261.3971382379530  1.2863820e-04
261.0531821846960  1.0591020e-04
260.7101388275620  9.2220012e-05
260.3680267930030  9.1866023e-05
260.0267902016640  8.0656449e-05
259.6864290535450  7.1056696e-05
259.3469619750980  6.2751191e-05
259.0083889663220  5.3818843e-05
258.6706914007660  5.1722807e-05
258.3338879048820  5.0038401e-05
257.9979784786700  4.3227825e-05
257.6629072427750  3.6129328e-05
257.3287114501000  3.2699267e-05
256.9953724741940  2.9314622e-05
256.6629089415070  2.3683167e-05
256.3313022255900  2.0688278e-05
256.0005709528920  2.3212573e-05
255.6706778705120  2.3534236e-05
255.3416229784490  2.4555166e-05
255.0134249031540  2.4622752e-05
254.6860463917260  2.3293336e-05
254.3595246970650  2.5324340e-05
254.0338411927220  2.5288708e-05
253.7090145051480  2.7052411e-05
253.3849887549880  2.0950692e-05
253.0617825686930  1.4156739e-05
252.7394145727160  1.5207665e-05
252.4178661406040  1.7477711e-05
252.0971186459060  2.0158121e-05
251.7772279679780  1.6084638e-05
251.4581196010110  1.4123219e-05
251.1398121714590  1.2966444e-05
250.8223056793210  1.0122743e-05
250.5056187510490  1.0279226e-05
250.1897141337390  1.4247262e-05
249.8746290802960  1.2427079e-05
249.5603263378140  1.2576424e-05
249.2468059062960  1.2109725e-05
248.9340677857400  7.0570595e-06
248.6221119761470  7.8709008e-06
248.3109384775160  9.7511320e-06
248.0005472898480  1.1417150e-05
247.6909570395950  1.2265775e-05
247.3821118474010  1.2120433e-05
247.0740489661690  8.2680845e-06
246.7667311429980  6.4385154e-06
246.4601770043370  6.2633208e-06
246.1544051766400  6.9760772e-06
245.8493970334530  9.4951247e-06
245.5451339483260  8.0168502e-06
245.2415972948070  6.4427018e-06
244.9388429522510  1.0665499e-05
244.6368150413040  1.0584184e-05
244.3355321884160  6.3285602e-06
244.0349943935870  6.5881623e-06
243.7352202832700  8.1514854e-06
243.4361539781090  7.3012902e-06
243.1378141045570  6.2596559e-06
242.8402192890640  6.4825476e-06
242.5433509051800  7.2128373e-06
242.2471903264520  8.2502611e-06
241.9517934322360  9.4335192e-06
241.6570857167240  1.0353037e-05
241.3631044328210  9.2473683e-06
241.0698123276230  1.0242155e-05
240.7772652804850  1.0174173e-05
240.4854074120520  6.8119166e-06
240.1942573487760  6.2017566e-06
239.9038337171080  7.1405525e-06
239.6140992641450  5.8545988e-06
239.3250539898870  3.6600284e-06
239.0366978943350  3.9327015e-06
238.7490496039390  4.2073998e-06
238.4620904922490  3.1100749e-06
238.1758391857150  3.3018146e-06
237.8902584314350  4.5290258e-06
237.6053482294080  5.3337112e-06
237.3211272060870  5.1468933e-06
237.0375953614710  5.6677673e-06
236.7547340691090  6.1151709e-06
236.4725619554520  4.6583832e-06
236.1910417675970  5.0322210e-06
235.9101921319960  6.1131273e-06
235.6300130486490  8.0169375e-06
235.3505045175550  8.6412620e-06
235.0716479122640  8.4794665e-06
234.7934432327750  4.0516520e-06
234.5159277319910 -7.0827127e-06
234.2390455305580 -5.4525531e-06
233.9628338813780 -2.4980966e-07
233.6872555315490  3.9729136e-07
233.4123291075230  5.6860785e-07
233.1380359828470  1.8187604e-06
232.8644134104250  2.9011503e-06
232.5914241373540  7.6672546e-07
232.3190681636330  1.9004351e-06
232.0473454892640  5.2721898e-06
231.7762561142440  5.2280311e-06
231.5058000385760  3.4904024e-06
231.2359772622590  3.8845801e-06
230.9668064117430  5.7671891e-06
230.6982316076760  6.6057141e-06
230.4302901029590  6.3718890e-06
230.1629632711410  5.7193824e-06
229.8962697386740  5.2843643e-06
229.6301722526550  5.2146352e-06
229.3647266924380  4.7130538e-06
229.0998771786690  5.1800394e-06
228.8356237113480  4.8541965e-06
228.5719849169250  3.1477587e-06
228.3089607954030  2.8169798e-06
228.0465327203270  4.9486821e-06
227.7847193181510  5.4582174e-06
227.5235019624230  3.7259997e-06
227.2628806531430  5.3086915e-06
227.0028553903100  6.9395855e-06
226.7434075474740  4.8714855e-06
226.4845743775370  4.7422104e-06
226.2263186275960  5.0505705e-06
225.9686775505540  4.8735074e-06
225.7115952670570  5.5569408e-06
225.4551090300080  5.4093398e-06
225.1992002129550  3.3537719e-06
224.9438688158990  3.4299881e-06
224.6891148388390  4.6557248e-06
224.4349569082260  4.6856912e-06
224.1813577711580  6.0337375e-06
223.9283174276350  6.3890029e-06
223.6758731305600  6.2050440e-06
223.4239690005780  5.0239532e-06
223.1726609170440  3.8346525e-06
222.9218930006030  3.4705436e-06
222.6717211306100  4.5411566e-06
222.4220894277100  5.7503580e-06
222.1730165183540  5.2332007e-06
221.9244837760930  3.9819811e-06
221.6765284538270  3.8985022e-06
221.4291132986550  3.3351221e-06
221.1822755634780  3.6096351e-06
220.9359779953960  3.7664538e-06
220.6902205944060  3.4409227e-06
220.4450033605100  2.8199070e-06
220.2003262937070  3.0730228e-06
219.9562080204490  4.4423268e-06
219.7126299142840  4.1840626e-06
219.4695919752120  3.2432438e-06
219.2270755767820  2.8977895e-06
218.9850993454460  2.6160935e-06
218.7436632812020  2.3754274e-06
218.5027487576010  3.4266241e-06
218.2623744010930  3.1747491e-06
218.0225402116780  1.1871783e-06
217.7832089364530  1.3487788e-06
217.5444178283210  2.1181850e-06
217.3061296343800  1.9296522e-06
217.0683816075330  3.3218237e-06
216.8311551213260  2.7398953e-06
216.5944501757620  1.7057341e-06
216.3582481443880  1.5606648e-06
216.1225676536560  1.8366086e-06
215.8873900771140  2.1620817e-06
215.6527154147620  1.9189429e-06
215.4185622930530  2.0087193e-06
215.1849307119850  3.2535806e-06
214.9518020451070  3.4839395e-06
214.7191762924190  2.4641906e-06
214.4870348274710  2.6500327e-06
214.2554149031640  2.2011195e-06
214.0242792665960  1.3865809e-06
213.7936465442180  1.0588853e-06
213.5635353624820  2.2378567e-06
213.3338898420330  3.5445103e-06
213.1047472357750  3.1421664e-06
212.8760889172550  2.5028319e-06
212.6479148864750  1.6540414e-06
212.4202437698840  2.1138758e-06
212.1930569410320  1.4872778e-06
211.9663730263710  3.0998277e-07
211.7401547729970  2.5585516e-06
211.5144021809100  3.7393563e-06
211.2891525030140  2.4198114e-06
211.0643684864040  2.0902435e-06
210.8400687575340  2.2581639e-06
210.6162719428540  2.8262932e-06
210.3929221630100  2.7937028e-06
210.1700380444530  1.1527711e-06
209.9476382136340  1.2608343e-06
209.7257040441040  2.8071722e-06
209.5042355358600  3.6365971e-06
209.2832513153550  2.8502943e-06
209.0627327561380  1.8637668e-06
208.8426612317560  1.8722088e-06
208.6230553686620  1.7102301e-06
208.4039151668550  1.9281813e-06
208.1852219998840  1.7295632e-06
