#lambda  transmission
      3.19030  1.86102e-10
      3.19056  1.98472e-10
      3.19081  2.12957e-10
      3.19107  2.26860e-10
      3.19132  2.21047e-10
      3.19157  1.92935e-10
      3.19183  1.61283e-10
      3.19208  1.38346e-10
      3.19234  1.30421e-10
      3.19259  1.41446e-10
      3.19285  1.54285e-10
      3.19310  1.45187e-10
      3.19336  1.36859e-10
      3.19361  1.38584e-10
      3.19387  1.32131e-10
      3.19412  1.11768e-10
      3.19438  8.59521e-11
      3.19463  6.97897e-11
      3.19489  6.14788e-11
      3.19514  5.49510e-11
      3.19540  5.72712e-11
      3.19565  6.80315e-11
      3.19591  7.38908e-11
      3.19616  7.36412e-11
      3.19642  7.72557e-11
      3.19668  1.00746e-10
      3.19693  1.25102e-10
      3.19719  1.17744e-10
      3.19744  1.37095e-10
      3.19770  1.89864e-10
      3.19795  1.97698e-10
      3.19821  1.89442e-10
      3.19846  2.06653e-10
      3.19872  2.18922e-10
      3.19898  2.21812e-10
      3.19923  2.26865e-10
      3.19949  2.33715e-10
      3.19974  2.37623e-10
      3.20000  2.32037e-10
      3.20026  2.25126e-10
      3.20051  2.28017e-10
      3.20077  2.35282e-10
      3.20102  2.31083e-10
      3.20128  2.11914e-10
      3.20154  1.99361e-10
      3.20179  1.93215e-10
      3.20205  1.68854e-10
      3.20231  1.38893e-10
      3.20256  1.20236e-10
      3.20282  1.23656e-10
      3.20307  1.49008e-10
      3.20333  1.86410e-10
      3.20359  2.23387e-10
      3.20384  2.48020e-10
      3.20410  2.51590e-10
      3.20436  2.33978e-10
      3.20461  1.99322e-10
      3.20487  1.50437e-10
      3.20513  1.11407e-10
      3.20538  1.06027e-10
      3.20564  1.16094e-10
      3.20590  1.20453e-10
      3.20616  1.06673e-10
      3.20641  9.98518e-11
      3.20667  1.21488e-10
      3.20693  1.54459e-10
      3.20718  1.89389e-10
      3.20744  2.22732e-10
      3.20770  2.53857e-10
      3.20796  2.77998e-10
      3.20821  2.90928e-10
      3.20847  3.07312e-10
      3.20873  3.32140e-10
      3.20899  3.33232e-10
      3.20924  3.16499e-10
      3.20950  3.09797e-10
      3.20976  3.02657e-10
      3.21002  2.91884e-10
      3.21027  2.79920e-10
      3.21053  2.65164e-10
      3.21079  2.37315e-10
      3.21105  1.88381e-10
      3.21130  1.53360e-10
      3.21156  1.72321e-10
      3.21182  1.92170e-10
      3.21208  1.80518e-10
      3.21234  1.52490e-10
      3.21259  1.29479e-10
      3.21285  1.28792e-10
      3.21311  1.53105e-10
      3.21337  1.84398e-10
      3.21363  1.97773e-10
      3.21388  1.95982e-10
      3.21414  1.90985e-10
      3.21440  1.94927e-10
      3.21466  2.07545e-10
      3.21492  2.22084e-10
      3.21518  2.36420e-10
      3.21543  2.54994e-10
      3.21569  2.88239e-10
      3.21595  3.25040e-10
      3.21621  3.55039e-10
      3.21647  3.71722e-10
      3.21673  3.74829e-10
      3.21699  3.67095e-10
      3.21724  3.60660e-10
      3.21750  3.56137e-10
      3.21776  3.44219e-10
      3.21802  3.41609e-10
      3.21828  3.53978e-10
      3.21854  3.66071e-10
      3.21880  3.49422e-10
      3.21906  2.95458e-10
      3.21932  2.42743e-10
      3.21957  2.09976e-10
      3.21983  1.91801e-10
      3.22009  1.74518e-10
      3.22035  1.53118e-10
      3.22061  1.35187e-10
      3.22087  1.24637e-10
      3.22113  1.21266e-10
      3.22139  1.19433e-10
      3.22165  1.19384e-10
      3.22191  1.25641e-10
      3.22217  1.40535e-10
      3.22243  1.64234e-10
      3.22269  1.99722e-10
      3.22295  2.33491e-10
      3.22321  2.53120e-10
      3.22347  2.72756e-10
      3.22373  2.95283e-10
      3.22399  3.12026e-10
      3.22425  3.08852e-10
      3.22451  2.88484e-10
      3.22477  2.68822e-10
      3.22503  2.59991e-10
      3.22529  2.61947e-10
      3.22555  2.70526e-10
      3.22581  2.76733e-10
      3.22607  2.78886e-10
      3.22633  2.83011e-10
      3.22659  2.87838e-10
      3.22685  2.82989e-10
      3.22711  2.59915e-10
      3.22737  2.20318e-10
      3.22763  1.80072e-10
      3.22789  1.49622e-10
      3.22815  1.31326e-10
      3.22841  1.14443e-10
      3.22867  9.28691e-11
      3.22893  6.88709e-11
      3.22919  5.02556e-11
      3.22945  4.19674e-11
      3.22971  4.22468e-11
      3.22997  4.56187e-11
      3.23024  4.72311e-11
      3.23050  5.58664e-11
      3.23076  7.11614e-11
      3.23102  7.97042e-11
      3.23128  9.14243e-11
      3.23154  1.16365e-10
      3.23180  1.40861e-10
      3.23206  1.55892e-10
      3.23232  1.61836e-10
      3.23258  1.62992e-10
      3.23285  1.60839e-10
      3.23311  1.56841e-10
      3.23337  1.46597e-10
      3.23363  1.29058e-10
      3.23389  1.13720e-10
      3.23415  1.11141e-10
      3.23441  1.22541e-10
      3.23468  1.28820e-10
      3.23494  1.29611e-10
      3.23520  1.40236e-10
      3.23546  1.59086e-10
      3.23572  1.76819e-10
      3.23598  1.87190e-10
      3.23625  1.97031e-10
      3.23651  2.14803e-10
      3.23677  2.18217e-10
      3.23703  2.02297e-10
      3.23729  1.91562e-10
      3.23756  1.85224e-10
      3.23782  1.75138e-10
      3.23808  1.62075e-10
      3.23834  1.47356e-10
      3.23860  1.32627e-10
      3.23887  1.21110e-10
      3.23913  1.17001e-10
      3.23939  1.28068e-10
      3.23965  1.45922e-10
      3.23992  1.59475e-10
      3.24018  1.67241e-10
      3.24044  1.70319e-10
      3.24070  1.75845e-10
      3.24097  1.80356e-10
      3.24123  1.82440e-10
      3.24149  1.89730e-10
      3.24175  1.85278e-10
      3.24202  1.62482e-10
      3.24228  1.54503e-10
      3.24254  1.61231e-10
      3.24281  1.61793e-10
      3.24307  1.51980e-10
      3.24333  1.40452e-10
      3.24359  1.42202e-10
      3.24386  1.43809e-10
      3.24412  1.33498e-10
      3.24438  1.24039e-10
      3.24465  1.19878e-10
      3.24491  1.19258e-10
      3.24517  1.20412e-10
      3.24544  1.22152e-10
      3.24570  1.22602e-10
      3.24596  1.18283e-10
      3.24623  1.10059e-10
      3.24649  1.06809e-10
      3.24675  1.08958e-10
      3.24702  1.13944e-10
      3.24728  1.29616e-10
      3.24754  1.54298e-10
      3.24781  1.70861e-10
      3.24807  1.76665e-10
      3.24834  1.74559e-10
      3.24860  1.65908e-10
      3.24886  1.54373e-10
      3.24913  1.41611e-10
      3.24939  1.33462e-10
      3.24965  1.32002e-10
      3.24992  1.32160e-10
      3.25018  1.34291e-10
      3.25045  1.37588e-10
      3.25071  1.36945e-10
      3.25098  1.33697e-10
      3.25124  1.30692e-10
      3.25150  1.34193e-10
      3.25177  1.40860e-10
      3.25203  1.39568e-10
      3.25230  1.30046e-10
      3.25256  1.16013e-10
      3.25283  1.04078e-10
      3.25309  9.84218e-11
      3.25336  9.79513e-11
      3.25362  9.83157e-11
      3.25388  9.69882e-11
      3.25415  9.51282e-11
      3.25441  9.49300e-11
      3.25468  9.59188e-11
      3.25494  9.83391e-11
      3.25521  1.05408e-10
      3.25547  1.18390e-10
      3.25574  1.28081e-10
      3.25600  1.33582e-10
      3.25627  1.42615e-10
      3.25653  1.63747e-10
      3.25680  1.94290e-10
      3.25706  2.10532e-10
      3.25733  2.06820e-10
      3.25759  1.95980e-10
      3.25786  1.95600e-10
      3.25813  2.03456e-10
      3.25839  1.99213e-10
      3.25866  1.80731e-10
      3.25892  1.59302e-10
      3.25919  1.42729e-10
      3.25945  1.35274e-10
      3.25972  1.35594e-10
      3.25998  1.34770e-10
      3.26025  1.27906e-10
      3.26052  1.15169e-10
      3.26078  1.01826e-10
      3.26105  9.28813e-11
      3.26131  8.79372e-11
      3.26158  8.66668e-11
      3.26184  8.84294e-11
      3.26211  9.38438e-11
      3.26238  1.02995e-10
      3.26264  1.13225e-10
      3.26291  1.19796e-10
      3.26318  1.22564e-10
      3.26344  1.25285e-10
      3.26371  1.26770e-10
      3.26397  1.27890e-10
      3.26424  1.29857e-10
      3.26451  1.32030e-10
      3.26477  1.33786e-10
      3.26504  1.30428e-10
      3.26531  1.19017e-10
      3.26557  1.06124e-10
      3.26584  9.64701e-11
      3.26611  9.08075e-11
      3.26637  8.82005e-11
      3.26664  8.56229e-11
      3.26691  7.95768e-11
      3.26717  7.72044e-11
      3.26744  8.60920e-11
      3.26771  1.04418e-10
      3.26797  1.27101e-10
      3.26824  1.49892e-10
      3.26851  1.71869e-10
      3.26877  1.88101e-10
      3.26904  1.88569e-10
      3.26931  1.77335e-10
      3.26958  1.63248e-10
      3.26984  1.39810e-10
      3.27011  1.17534e-10
      3.27038  1.11588e-10
      3.27065  1.05818e-10
      3.27091  9.60063e-11
      3.27118  9.30097e-11
      3.27145  9.19474e-11
      3.27172  8.52463e-11
      3.27198  7.57653e-11
      3.27225  6.77782e-11
      3.27252  6.50009e-11
      3.27279  6.98043e-11
      3.27305  7.81960e-11
      3.27332  8.16165e-11
      3.27359  8.29173e-11
      3.27386  8.68452e-11
      3.27413  9.13947e-11
      3.27439  9.46180e-11
      3.27466  9.51824e-11
      3.27493  9.76329e-11
      3.27520  1.03252e-10
      3.27547  1.05371e-10
      3.27573  1.05844e-10
      3.27600  1.10474e-10
      3.27627  1.23598e-10
      3.27654  1.43995e-10
      3.27681  1.63244e-10
      3.27708  1.68961e-10
      3.27735  1.59248e-10
      3.27761  1.41930e-10
      3.27788  1.23923e-10
      3.27815  1.11568e-10
      3.27842  1.07460e-10
      3.27869  1.07229e-10
      3.27896  1.04352e-10
      3.27923  1.04223e-10
      3.27950  1.07852e-10
      3.27976  1.08532e-10
      3.28003  1.07469e-10
      3.28030  1.10723e-10
      3.28057  1.24510e-10
      3.28084  1.49799e-10
      3.28111  1.82303e-10
      3.28138  2.10241e-10
      3.28165  2.27321e-10
      3.28192  2.36004e-10
      3.28219  2.48656e-10
      3.28246  2.69090e-10
      3.28272  2.81352e-10
      3.28299  2.85939e-10
      3.28326  2.88164e-10
      3.28353  2.80556e-10
      3.28380  2.58699e-10
      3.28407  2.24807e-10
      3.28434  1.95162e-10
      3.28461  1.75188e-10
      3.28488  1.45535e-10
      3.28515  1.18090e-10
      3.28542  1.12447e-10
      3.28569  1.07994e-10
      3.28596  9.46597e-11
      3.28623  8.13123e-11
      3.28650  7.25973e-11
      3.28677  6.88273e-11
      3.28704  6.93244e-11
      3.28731  7.17007e-11
      3.28758  7.33278e-11
      3.28785  7.36057e-11
      3.28812  7.31939e-11
      3.28839  7.25119e-11
      3.28866  7.18015e-11
      3.28893  7.32240e-11
      3.28920  8.03618e-11
      3.28947  9.04586e-11
      3.28974  9.66931e-11
      3.29001  1.00675e-10
      3.29029  1.04408e-10
      3.29056  1.08514e-10
      3.29083  1.10412e-10
      3.29110  1.08195e-10
      3.29137  1.03896e-10
      3.29164  9.95348e-11
      3.29191  9.80379e-11
      3.29218  1.00192e-10
      3.29245  1.05927e-10
      3.29272  1.12327e-10
      3.29299  1.11255e-10
      3.29327  1.01979e-10
      3.29354  9.45585e-11
      3.29381  9.74511e-11
      3.29408  1.12649e-10
      3.29435  1.24607e-10
      3.29462  1.25221e-10
      3.29489  1.23518e-10
      3.29516  1.20982e-10
      3.29544  1.14983e-10
      3.29571  1.08082e-10
      3.29598  1.01452e-10
      3.29625  9.47157e-11
      3.29652  8.90345e-11
      3.29679  8.49646e-11
      3.29707  8.09651e-11
      3.29734  7.78865e-11
      3.29761  7.72215e-11
      3.29788  7.62365e-11
      3.29815  7.30036e-11
      3.29842  6.64500e-11
      3.29870  5.84212e-11
      3.29897  5.42003e-11
      3.29924  5.98685e-11
      3.29951  6.64557e-11
      3.29979  6.77072e-11
      3.30006  7.45573e-11
      3.30033  8.42156e-11
      3.30060  8.63123e-11
      3.30087  9.03562e-11
      3.30115  1.03313e-10
      3.30142  1.19131e-10
      3.30169  1.31048e-10
      3.30196  1.37448e-10
      3.30224  1.45360e-10
      3.30251  1.54616e-10
      3.30278  1.62501e-10
      3.30306  1.69059e-10
      3.30333  1.73520e-10
      3.30360  1.73969e-10
      3.30387  1.74281e-10
      3.30415  1.78008e-10
      3.30442  1.77871e-10
      3.30469  1.68605e-10
      3.30497  1.50141e-10
      3.30524  1.34254e-10
      3.30551  1.24951e-10
      3.30579  1.12366e-10
      3.30606  1.00756e-10
      3.30633  9.29787e-11
      3.30660  7.93021e-11
      3.30688  6.29373e-11
      3.30715  5.34885e-11
      3.30743  5.03151e-11
      3.30770  4.95527e-11
      3.30797  4.71369e-11
      3.30825  4.49464e-11
      3.30852  4.58530e-11
      3.30879  4.74360e-11
      3.30907  4.84922e-11
      3.30934  4.91453e-11
      3.30961  5.11762e-11
      3.30989  5.74391e-11
      3.31016  6.97530e-11
      3.31044  7.88565e-11
      3.31071  7.70862e-11
      3.31098  7.30157e-11
      3.31126  7.67396e-11
      3.31153  9.16026e-11
      3.31181  1.00077e-10
      3.31208  1.01296e-10
      3.31236  1.10911e-10
      3.31263  1.27007e-10
      3.31290  1.41229e-10
      3.31318  1.44318e-10
      3.31345  1.40793e-10
      3.31373  1.41691e-10
      3.31400  1.44666e-10
      3.31428  1.45279e-10
      3.31455  1.38771e-10
      3.31483  1.27373e-10
      3.31510  1.15287e-10
      3.31538  1.04544e-10
      3.31565  9.93707e-11
      3.31592  1.00022e-10
      3.31620  9.50172e-11
      3.31647  8.15300e-11
      3.31675  6.88362e-11
      3.31702  6.38526e-11
      3.31730  6.55985e-11
      3.31757  6.53080e-11
      3.31785  6.10419e-11
      3.31813  5.59787e-11
      3.31840  5.43002e-11
      3.31868  5.61257e-11
      3.31895  5.76344e-11
      3.31923  5.35137e-11
      3.31950  4.33461e-11
      3.31978  3.44040e-11
      3.32005  3.01875e-11
      3.32033  2.98946e-11
      3.32060  3.01035e-11
      3.32088  2.94114e-11
      3.32116  2.85362e-11
      3.32143  2.86702e-11
      3.32171  3.01089e-11
      3.32198  3.10384e-11
      3.32226  3.22582e-11
      3.32254  3.53541e-11
      3.32281  3.64229e-11
      3.32309  3.48515e-11
      3.32336  3.48655e-11
      3.32364  3.47366e-11
      3.32392  3.26941e-11
      3.32419  3.13753e-11
      3.32447  2.95450e-11
      3.32474  2.54104e-11
      3.32502  2.32528e-11
      3.32530  2.27027e-11
      3.32557  2.02378e-11
      3.32585  1.79709e-11
      3.32613  1.72983e-11
      3.32640  1.69633e-11
      3.32668  1.69499e-11
      3.32696  1.77172e-11
      3.32723  1.81407e-11
      3.32751  1.79316e-11
      3.32779  1.78633e-11
      3.32806  1.74625e-11
      3.32834  1.65787e-11
      3.32862  1.58749e-11
      3.32889  1.53014e-11
      3.32917  1.45752e-11
      3.32945  1.30290e-11
      3.32973  1.07901e-11
      3.33000  9.29659e-12
      3.33028  8.80770e-12
      3.33056  8.78087e-12
      3.33084  8.49952e-12
      3.33111  7.89543e-12
      3.33139  7.32421e-12
      3.33167  6.90002e-12
      3.33194  6.98649e-12
      3.33222  7.78811e-12
      3.33250  7.68016e-12
      3.33278  6.10428e-12
      3.33306  4.98310e-12
      3.33333  4.75045e-12
      3.33361  4.89206e-12
      3.33389  4.71834e-12
      3.33417  4.07390e-12
      3.33444  3.24067e-12
      3.33472  2.63186e-12
      3.33500  2.40495e-12
      3.33528  2.34631e-12
      3.33556  2.38512e-12
      3.33584  2.41131e-12
      3.33611  2.12875e-12
      3.33639  1.70008e-12
      3.33667  1.76210e-12
      3.33695  1.80384e-12
      3.33723  1.39070e-12
      3.33751  1.01058e-12
      3.33778  8.11495e-13
      3.33806  7.22999e-13
      3.33834  6.82884e-13
      3.33862  6.93542e-13
      3.33890  8.14994e-13
      3.33918  1.00702e-12
      3.33946  1.19914e-12
      3.33973  1.40279e-12
      3.34001  1.64423e-12
      3.34029  1.87997e-12
      3.34057  1.95118e-12
      3.34085  1.87563e-12
      3.34113  1.88527e-12
      3.34141  1.87395e-12
      3.34169  1.76485e-12
      3.34197  1.87838e-12
      3.34225  2.04892e-12
      3.34253  1.88132e-12
      3.34280  1.58526e-12
      3.34308  1.33577e-12
      3.34336  1.17710e-12
      3.34364  1.06996e-12
      3.34392  9.82037e-13
      3.34420  8.77151e-13
      3.34448  7.99374e-13
      3.34476  7.73448e-13
      3.34504  7.08462e-13
      3.34532  5.54129e-13
      3.34560  3.68406e-13
      3.34588  2.59902e-13
      3.34616  2.38660e-13
      3.34644  2.14132e-13
      3.34672  1.86383e-13
      3.34700  1.82347e-13
      3.34728  1.76430e-13
      3.34756  1.60053e-13
      3.34784  1.59318e-13
      3.34812  1.58990e-13
      3.34840  1.41145e-13
      3.34868  1.14671e-13
      3.34896  9.60191e-14
      3.34924  9.16027e-14
      3.34952  8.29001e-14
      3.34980  7.66766e-14
      3.35008  7.57247e-14
      3.35036  8.34897e-14
      3.35065  9.78592e-14
      3.35093  1.05815e-13
      3.35121  1.01840e-13
      3.35149  9.41220e-14
      3.35177  8.08623e-14
      3.35205  6.41520e-14
      3.35233  5.31126e-14
      3.35261  4.49761e-14
      3.35289  3.56868e-14
      3.35317  2.87185e-14
      3.35345  2.35211e-14
      3.35374  1.74135e-14
      3.35402  1.24097e-14
      3.35430  9.21426e-15
      3.35458  8.25584e-15
      3.35486  9.03105e-15
      3.35514  1.01761e-14
      3.35542  9.20278e-15
      3.35570  7.03860e-15
      3.35599  6.30759e-15
      3.35627  5.82346e-15
      3.35655  5.20728e-15
      3.35683  4.80704e-15
      3.35711  5.15566e-15
      3.35739  5.94861e-15
      3.35768  6.76747e-15
      3.35796  7.55419e-15
      3.35824  7.94494e-15
      3.35852  7.97985e-15
      3.35880  7.68721e-15
      3.35909  6.98236e-15
      3.35937  6.51926e-15
      3.35965  6.69300e-15
      3.35993  6.87126e-15
      3.36021  6.85042e-15
      3.36050  6.98891e-15
      3.36078  7.56975e-15
      3.36106  7.93736e-15
      3.36134  7.24409e-15
      3.36163  6.61224e-15
      3.36191  6.12039e-15
      3.36219  5.36508e-15
      3.36247  4.58876e-15
      3.36276  3.40509e-15
      3.36304  2.25980e-15
      3.36332  1.49613e-15
      3.36361  1.20191e-15
      3.36389  1.34185e-15
      3.36417  1.76921e-15
      3.36445  2.37364e-15
      3.36474  3.07566e-15
      3.36502  3.53218e-15
      3.36530  3.98759e-15
      3.36559  4.22400e-15
      3.36587  4.19479e-15
      3.36615  3.91745e-15
      3.36644  3.74277e-15
      3.36672  3.93710e-15
      3.36700  4.09400e-15
      3.36729  3.61119e-15
      3.36757  3.04103e-15
      3.36785  2.54608e-15
      3.36814  1.92477e-15
      3.36842  1.29500e-15
      3.36870  6.83066e-16
      3.36899  4.06388e-16
      3.36927  3.45514e-16
      3.36956  4.95129e-16
      3.36984  1.25898e-15
      3.37012  2.67272e-15
      3.37041  4.09775e-15
      3.37069  5.03798e-15
      3.37098  5.03221e-15
      3.37126  3.97582e-15
      3.37154  2.88528e-15
      3.37183  2.15430e-15
      3.37211  2.87183e-15
      3.37240  3.51094e-15
      3.37268  4.10070e-15
      3.37297  3.84949e-15
      3.37325  2.61050e-15
      3.37353  1.22651e-15
      3.37382  4.90013e-16
      3.37410  3.21333e-16
      3.37439  2.77596e-16
      3.37467  2.26561e-16
      3.37496  3.84086e-16
      3.37524  9.94243e-16
      3.37553  1.96366e-15
      3.37581  2.61590e-15
      3.37610  2.86548e-15
      3.37638  2.70969e-15
      3.37667  2.35990e-15
      3.37695  1.95734e-15
      3.37724  1.70150e-15
      3.37752  1.62758e-15
      3.37781  1.66363e-15
      3.37809  1.50367e-15
      3.37838  1.07240e-15
      3.37866  7.08528e-16
      3.37895  6.11995e-16
      3.37923  6.29409e-16
      3.37952  4.08687e-16
      3.37981  2.59050e-16
      3.38009  2.27417e-16
      3.38038  2.23869e-16
      3.38066  3.61940e-16
      3.38095  5.38207e-16
      3.38123  8.04021e-16
      3.38152  1.41766e-15
      3.38181  1.99885e-15
      3.38209  2.18702e-15
      3.38238  1.90074e-15
      3.38266  1.55539e-15
      3.38295  1.28966e-15
      3.38324  9.60207e-16
      3.38352  6.47316e-16
      3.38381  3.67293e-16
      3.38409  3.25909e-16
      3.38438  3.99863e-16
      3.38467  3.01629e-16
      3.38495  2.46160e-16
      3.38524  2.96769e-16
      3.38553  3.37884e-16
      3.38581  3.98835e-16
      3.38610  5.66113e-16
      3.38639  8.06945e-16
      3.38667  8.05953e-16
      3.38696  4.72066e-16
      3.38725  1.43154e-16
      3.38753  5.55010e-18
      3.38782  3.72143e-17
      3.38811  1.42555e-16
      3.38839  1.60069e-16
      3.38868  1.07742e-16
      3.38897  8.05284e-17
      3.38926  2.05882e-16
      3.38954  3.47338e-16
      3.38983  3.01832e-16
      3.39012  1.54950e-16
      3.39041  5.29785e-17
      3.39069  2.04545e-17
      3.39098  3.37230e-18
      3.39127  3.60407e-18
      3.39156  4.81894e-18
      3.39213  7.60341e-17
      3.39242  1.48559e-16
      3.39271  2.28609e-16
      3.39299  2.47164e-16
      3.39328  1.51274e-16
      3.39357  1.21056e-16
      3.39386  1.89713e-16
      3.39415  3.50305e-16
      3.39443  4.05285e-16
      3.39472  2.21112e-16
      3.39501  3.19414e-16
      3.39530  5.66382e-16
      3.39559  7.13875e-16
      3.39587  5.22186e-16
      3.39616  2.17625e-16
      3.39645  8.93891e-17
      3.39674  8.41211e-17
      3.39703  3.19418e-17
      3.39732  9.68442e-18
      3.39760  1.52651e-17
      3.39789  3.00920e-17
      3.39818  2.80380e-17
      3.39847  2.80936e-16
      3.39876  8.42845e-16
      3.39905  7.07347e-16
      3.39934  4.07768e-16
      3.39963  1.85281e-16
      3.39991  7.63002e-17
      3.40020  8.74559e-17
      3.40049  4.17765e-17
      3.40078  3.09058e-18
      3.40107  4.59299e-18
      3.40165  4.96706e-17
      3.40194  9.61214e-17
      3.40223  7.83521e-17
      3.40252  6.20010e-17
      3.40281  1.72582e-17
      3.40310  1.03182e-17
      3.40339  3.32201e-17
      3.40368  5.29860e-17
      3.40397  8.20073e-17
      3.40426  7.91793e-17
      3.40455  4.75456e-17
      3.40483  7.01628e-17
      3.40512  1.38794e-16
      3.40541  2.23824e-16
      3.40570  4.06637e-16
      3.40599  5.16933e-16
      3.40628  7.56955e-16
      3.40657  8.04347e-16
      3.40686  6.33057e-16
      3.40716  4.18813e-16
      3.40745  1.41737e-16
      3.40774  1.98609e-17
      3.40803  4.41154e-19
      3.40832  3.92062e-19
      3.40861  2.34043e-18
      3.40948  3.70430e-17
      3.40977  6.64405e-17
      3.41006  6.63646e-17
      3.41035  1.03996e-16
      3.41064  1.10056e-16
      3.41093  1.23112e-16
      3.41122  3.23073e-16
      3.41151  8.25675e-16
      3.41180  8.61396e-16
      3.41210  5.16714e-16
      3.41239  2.45450e-16
      3.41268  1.09835e-16
      3.41297  5.39631e-17
      3.41326  1.30978e-18
      3.41355  6.43483e-17
      3.41384  1.80247e-16
      3.41413  2.23987e-16
      3.41443  3.79979e-16
      3.41472  5.26482e-16
      3.41501  5.43133e-16
      3.41530  3.67834e-16
      3.41559  2.10167e-16
      3.41588  2.80174e-16
      3.41618  4.42858e-16
      3.41647  3.70298e-16
      3.41676  2.09147e-16
      3.41705  1.20158e-16
      3.41734  8.20123e-17
      3.41763  6.85951e-17
      3.41793  1.31866e-16
      3.41822  1.89793e-16
      3.41851  1.50011e-16
      3.41880  1.08008e-16
      3.41910  1.88612e-16
      3.41939  2.57958e-16
      3.41968  1.91315e-16
      3.41997  1.06271e-16
      3.42026  8.50112e-18
      3.42056  4.97928e-18
      3.42085  1.00596e-16
      3.42114  1.31262e-16
      3.42144  1.35396e-16
      3.42173  1.61145e-16
      3.42202  2.63996e-16
      3.42231  4.23673e-16
      3.42261  4.43368e-16
      3.42290  4.51761e-16
      3.42319  5.27219e-16
      3.42349  4.53729e-16
      3.42378  4.03399e-16
      3.42407  2.72659e-16
      3.42436  2.98438e-17
      3.42466  5.30318e-18
      3.42524  5.75267e-17
      3.42554  5.26101e-16
      3.42583  9.04591e-16
      3.42612  7.54470e-16
      3.42642  9.11060e-16
      3.42671  1.24948e-15
      3.42700  8.19261e-16
      3.42730  3.06212e-16
      3.42759  1.56232e-16
      3.42789  8.74603e-17
      3.42818  1.26999e-17
      3.42847  1.28304e-17
      3.42877  7.14217e-17
      3.42906  4.42658e-17
      3.42936  1.66893e-18
      3.42965  1.15655e-17
      3.42994  8.72593e-17
      3.43024  1.69918e-16
      3.43053  1.35213e-16
      3.43083  6.61308e-17
      3.43112  3.56377e-16
      3.43141  5.42422e-16
      3.43171  4.51367e-16
      3.43200  2.27161e-16
      3.43230  6.94755e-17
      3.43259  1.29617e-17
      3.43289  4.61092e-17
      3.43318  1.31836e-16
      3.43348  1.73180e-16
      3.43377  1.86936e-16
      3.43407  2.19209e-16
      3.43436  1.47788e-16
      3.43466  6.62167e-17
      3.43495  1.34923e-17
      3.43525  5.41512e-19
      3.43554  1.05225e-17
      3.43584  7.27727e-18
      3.43613  1.72652e-17
      3.43643  3.66898e-17
      3.43672  6.40349e-17
      3.43702  6.86699e-17
      3.43731  6.71305e-17
      3.43761  5.63777e-17
      3.43790  9.24908e-17
      3.43820  1.27909e-16
      3.43849  1.52822e-16
      3.43879  2.19801e-16
      3.43909  2.23859e-16
      3.43938  1.94345e-16
      3.43968  1.56553e-16
      3.43997  7.92552e-17
      3.44027  4.21012e-17
      3.44056  1.23884e-17
      3.44086  8.54212e-19
      3.44116  1.49083e-20
      3.44145  9.75499e-20
      3.44175  1.96236e-19
      3.44204  3.65079e-19
      3.44234  4.74687e-17
      3.44264  2.04812e-16
      3.44293  2.92044e-16
      3.44323  2.89567e-16
      3.44353  2.45914e-16
      3.44382  1.14186e-16
      3.44412  2.23421e-17
      3.44442  1.35717e-17
      3.44471  1.39707e-17
      3.44501  4.84851e-17
      3.44531  8.13766e-17
      3.44560  5.55289e-17
      3.44590  5.86607e-17
      3.44620  1.75540e-17
      3.44649  1.27835e-18
      3.44679  9.01743e-18
      3.44709  3.25434e-17
      3.44738  9.22140e-17
      3.44768  9.29655e-17
      3.44798  3.33643e-17
      3.44828  1.87282e-17
      3.44857  2.20398e-17
      3.44887  6.35700e-17
      3.44917  9.47864e-17
      3.44947  1.27906e-16
      3.44976  3.15753e-16
      3.45006  5.40662e-16
      3.45036  6.09863e-16
      3.45066  4.35921e-16
      3.45095  2.45965e-16
      3.45125  1.02907e-16
      3.45155  2.41284e-17
      3.45185  1.08296e-17
      3.45214  1.39191e-17
      3.45244  1.51256e-17
      3.45274  1.68498e-17
      3.45304  4.17060e-17
      3.45334  3.74735e-17
      3.45363  1.18908e-17
      3.45393  1.16716e-17
      3.45423  5.26950e-17
      3.45453  1.45719e-16
      3.45483  2.37882e-16
      3.45513  2.08218e-16
      3.45543  1.30420e-16
      3.45572  1.25800e-16
      3.45602  1.14750e-16
      3.45632  5.52210e-17
      3.45662  4.96384e-17
      3.45692  7.29722e-17
      3.45722  3.83808e-17
      3.45752  3.74573e-17
      3.45781  6.76072e-17
      3.45811  5.10242e-17
      3.45841  2.50084e-17
      3.45871  4.49004e-17
      3.45901  1.18935e-16
      3.45931  1.93006e-16
      3.45961  1.93256e-16
      3.45991  1.55521e-16
      3.46021  1.81681e-16
      3.46051  2.01240e-16
      3.46081  1.47181e-16
      3.46111  7.78247e-17
      3.46141  6.06830e-17
      3.46170  3.70844e-17
      3.46200  3.47097e-17
      3.46230  9.99904e-17
      3.46260  1.19485e-16
      3.46290  8.25177e-17
      3.46320  4.61181e-17
      3.46350  5.28123e-17
      3.46380  8.68696e-17
      3.46410  1.06420e-16
      3.46440  1.16538e-16
      3.46470  1.09253e-16
      3.46500  1.34647e-16
      3.46530  1.65776e-16
      3.46560  1.91565e-16
      3.46590  2.92409e-16
      3.46620  3.65655e-16
      3.46650  1.97566e-16
      3.46681  1.78310e-16
      3.46711  2.45189e-16
      3.46741  2.69921e-16
      3.46771  2.43082e-16
