Name,agn_frac,agn_name,agn_norm,chi2,host_name,host_norm,lir_total
Mrk18,0.138758638,Mean,-1.762042106,15.31345792,Arp220,-2.736714209,10.1862892
MCG+06-16-028,0.378051567,Mean,-1.261012223,15.47741863,SB2,-1.725259611,10.55682861
Mrk359,0.327084316,Mean,-1.601252872,15.60166777,SB2,-1.968402664,10.36947218
NGC7465,0.021293893,Mean,-2.37151427,15.73867334,SB5,-1.738731352,9.876759297
LCRSB034324.7-394349,0.705272996,Mean,-1.89073436,16.12166119,SB1,-2.688783634,10.54484328
NGC2992,0.096907007,Mean,-1.349436418,16.1284365,SB5,-1.409673432,10.39361946
Mrk509,0.71047813,Mean,-1.040069309,16.12865001,SB2,-2.110389371,11.19747962
NGC6860,0.448020678,Mean,-1.258564299,16.38297886,SB1,-1.587051498,10.43896849
UGC03601,0.368349274,Mean,-2.025059719,16.76167285,SB1,-2.209954486,9.880652248
2MFGC02280,6.10E-14,Mean,-14.35937876,16.81015827,SB2,-1.825129338,10.21994523
IGRJ23308+7120,0.139794807,Mean,-2.500443113,16.84294337,SB1,-2.130444042,10.5076839
IIZw083,0.846479008,Mean,-0.914676262,17.45875075,SB1,-2.075236635,11.0994594
WKK1263,0.467445385,Mean,-1.624318663,17.46996216,SB5,-2.597299694,10.49143099
Mrk926,0.570010197,Mean,-1.538542019,17.96853578,SB5,-2.690580795,11.07114214
ESO383-18,0.879064486,Mean,-1.117746005,18.24967592,SB1,-2.398324834,10.12767757
Fairall1146,0.375879599,Mean,-1.421855852,18.311749,SB3,-2.04919625,11.01611544
2MASXJ12313717-4758019,0.13746661,Mean,-1.95313653,18.35602134,SB2,-1.83600856,10.80384015
NGC2885,0.243964868,Mean,-2.315572941,18.36669609,SB1,-2.243470202,10.14836241
NGC4051,0.12457613,Mean,-0.909867384,18.74622017,SB1,-0.482195785,10.19072689
2MASXJ01073963-1139117,0.369806433,Mean,-1.885775533,18.85143489,SB5,-2.683890337,10.92322566
MCG+04-48-002,3.12E-12,Mean,-11.88531858,19.03307545,SB2,-1.059284506,10.90993892
2MASXJ03534246+3714077,0.169289263,Mean,-2.141346058,19.47992902,SB5,-2.480139956,10.17705781
UGC12741,0.093639899,Mean,-2.594975744,19.70135026,SB1,-2.02824785,9.921980009
CGCG319-007,0.577488133,Mean,-1.744439486,19.8603901,SB1,-2.299255587,10.80308391
NGC3281,0.434242154,Mean,-0.697214116,19.96506703,SB2,-1.262766235,10.72231897
NGC985,0.633860418,Mean,-1.139338283,20.00034268,SB1,-1.796797183,11.35010871
NGC7582,1.76E-11,Mean,-10.27654884,20.25039549,SB2,-0.203113072,10.75105776
2MASXJ03342453-1513402,0.241034693,Mean,-2.05222084,20.35704777,SB5,-2.583692778,10.66870027
NGC5290,0.02559686,Mean,-2.324722302,20.44243691,SB1,-1.163282271,9.977044854
MCG+05-28-032,0.189493388,Mean,-2.018357016,20.54204993,SB5,-2.416808821,10.43682312
ESO439-G009,0.321812934,Mean,-1.737711279,20.58875837,SB1,-1.833077219,10.52040035
NGC4151,0.768500412,Mean,-0.219084181,20.62595652,SB1,-1.159290011,9.723744652
NGC6552,0.215823421,Mean,-1.511417575,21.02085003,SB4,-1.762380893,11.01168384
NGC5231,0.154825332,Mean,-2.162496769,21.36012477,SB1,-1.844504265,10.33083492
UGC12282,0.070117418,Mean,-2.173571488,21.66553672,SB1,-1.470081237,10.44586907
Mrk10,0.118791352,Mean,-2.165855905,21.87786356,SB1,-1.714673928,10.70451504
NGC7479,0.229600815,Mean,-0.683355128,22.26758262,SB1,-0.576724688,10.68232945
2MASXJ19380437-5109497,0.50124491,Mean,-2.297114239,22.28775901,SB1,-2.718388821,10.22698748
MCG-01-40-001,0.078017736,Mean,-2.071148415,22.42824279,SB5,-2.0282335,10.75745225
Mrk704,0.908922399,Mean,-1.353108494,22.54640802,SB1,-2.771335666,10.63288321
NGC7213,0.253197226,Mean,-1.17512409,23.12101132,SB1,-1.124489058,9.474189864
LEDA214543,0.409907621,Mean,-2.296612847,23.58766515,SB1,-2.557490782,10.11716088
Mrk202,0.393441864,Mean,-2.292011565,23.80134334,SB1,-2.52313165,9.765577241
NGC5033,0.005888399,Mean,-2.095541603,23.8542991,SB1,-0.287215661,10.39884149
CGCG300-062,0.315849874,Mean,-2.51659283,24.07779695,SB1,-2.600034076,10.03609098
IGRJ11366-6002,0.180191359,Mean,-1.926618892,24.41720107,SB5,-2.29825467,10.11271226
Mrk595,0.506188821,Mean,-1.843191557,24.572244,SB1,-2.273055138,10.32593176
ESO426-G002,0.843201971,Mean,-1.656577453,24.76203094,SB1,-2.806280414,10.12744314
MCG+05-03-013,0.065441331,Mean,-2.488331931,25.1370115,SB1,-1.752689435,10.82438893
