     5.160 -28.7756 -28.7929 -28.8115 -28.8324 -28.8559 -28.8826 -28.9131 -28.9479 -28.9872 -29.0331 -29.0843 -29.1431 -29.2093 -29.2836 -29.3651 -29.4547 -29.5511 -29.6531 -29.7590 -29.8678 -29.9783 -30.0878 -30.1955 -30.3000 -30.3994 -30.4934 -30.5814 -30.6624 -30.7372 -30.8049 -30.8666 -30.9224 -30.9726 -31.0181 -31.0596 -31.0965 -31.1304 -31.1611 -31.1890 -31.2144 -31.2378 -31.2589 -31.2782 -31.2962 -31.3123 -31.3274 -31.3412 -31.3539 -31.3660 -31.3769 -31.3870 -31.3965 -31.4052 -31.4133 -31.4209 -31.4279 -31.4345 -31.4409 -31.4466 -31.4522 -31.4574 -31.4622 -31.4668 -31.4712
     5.180 -28.7761 -28.7933 -28.8120 -28.8329 -28.8564 -28.8831 -28.9136 -28.9484 -28.9877 -29.0335 -29.0848 -29.1436 -29.2098 -29.2841 -29.3656 -29.4551 -29.5516 -29.6536 -29.7594 -29.8683 -29.9787 -30.0882 -30.1960 -30.3005 -30.3998 -30.4939 -30.5818 -30.6628 -30.7376 -30.8054 -30.8670 -30.9229 -30.9731 -31.0185 -31.0600 -31.0969 -31.1308 -31.1615 -31.1894 -31.2149 -31.2382 -31.2593 -31.2787 -31.2966 -31.3128 -31.3278 -31.3417 -31.3544 -31.3664 -31.3773 -31.3875 -31.3969 -31.4056 -31.4138 -31.4213 -31.4283 -31.4349 -31.4413 -31.4470 -31.4527 -31.4579 -31.4627 -31.4673 -31.4717
     5.200 -28.7764 -28.7937 -28.8123 -28.8332 -28.8567 -28.8834 -28.9139 -28.9487 -28.9880 -29.0339 -29.0851 -29.1439 -29.2101 -29.2843 -29.3659 -29.4554 -29.5519 -29.6538 -29.7596 -29.8685 -29.9789 -30.0884 -30.1961 -30.3005 -30.3999 -30.4939 -30.5818 -30.6628 -30.7376 -30.8053 -30.8669 -30.9227 -30.9729 -31.0184 -31.0599 -31.0968 -31.1306 -31.1613 -31.1893 -31.2147 -31.2381 -31.2592 -31.2785 -31.2964 -31.3126 -31.3276 -31.3415 -31.3542 -31.3662 -31.3772 -31.3873 -31.3968 -31.4054 -31.4136 -31.4212 -31.4282 -31.4347 -31.4411 -31.4468 -31.4525 -31.4577 -31.4625 -31.4671 -31.4715
     5.220 -28.7766 -28.7939 -28.8125 -28.8334 -28.8569 -28.8836 -28.9141 -28.9489 -28.9882 -29.0340 -29.0853 -29.1440 -29.2102 -29.2844 -29.3659 -29.4554 -29.5519 -29.6538 -29.7596 -29.8684 -29.9787 -30.0882 -30.1958 -30.3002 -30.3995 -30.4934 -30.5813 -30.6622 -30.7370 -30.8046 -30.8662 -30.9220 -30.9722 -31.0177 -31.0591 -31.0960 -31.1298 -31.1605 -31.1885 -31.2139 -31.2373 -31.2584 -31.2777 -31.2956 -31.3118 -31.3268 -31.3407 -31.3534 -31.3654 -31.3763 -31.3865 -31.3959 -31.4046 -31.4128 -31.4204 -31.4273 -31.4339 -31.4403 -31.4460 -31.4517 -31.4569 -31.4617 -31.4663 -31.4707
     5.240 -28.7769 -28.7942 -28.8128 -28.8337 -28.8572 -28.8839 -28.9144 -28.9492 -28.9884 -29.0343 -29.0855 -29.1443 -29.2105 -29.2847 -29.3661 -29.4556 -29.5520 -29.6539 -29.7597 -29.8685 -29.9788 -30.0882 -30.1958 -30.3002 -30.3994 -30.4933 -30.5811 -30.6620 -30.7367 -30.8044 -30.8659 -30.9217 -30.9719 -31.0173 -31.0588 -31.0957 -31.1295 -31.1602 -31.1881 -31.2135 -31.2369 -31.2580 -31.2773 -31.2953 -31.3114 -31.3265 -31.3403 -31.3530 -31.3651 -31.3760 -31.3861 -31.3956 -31.4043 -31.4124 -31.4200 -31.4270 -31.4336 -31.4400 -31.4457 -31.4513 -31.4565 -31.4613 -31.4659 -31.4703
     5.260 -28.7775 -28.7948 -28.8134 -28.8343 -28.8578 -28.8845 -28.9150 -28.9497 -28.9890 -29.0349 -29.0861 -29.1448 -29.2111 -29.2852 -29.3667 -29.4562 -29.5526 -29.6545 -29.7603 -29.8691 -29.9794 -30.0889 -30.1965 -30.3008 -30.4001 -30.4940 -30.5819 -30.6628 -30.7375 -30.8051 -30.8667 -30.9225 -30.9727 -31.0181 -31.0596 -31.0965 -31.1303 -31.1610 -31.1889 -31.2144 -31.2377 -31.2588 -31.2781 -31.2961 -31.3123 -31.3273 -31.3412 -31.3538 -31.3659 -31.3768 -31.3869 -31.3964 -31.4051 -31.4132 -31.4208 -31.4278 -31.4344 -31.4408 -31.4465 -31.4522 -31.4573 -31.4621 -31.4667 -31.4711
     5.280 -28.7782 -28.7955 -28.8141 -28.8350 -28.8585 -28.8852 -28.9157 -28.9505 -28.9898 -29.0357 -29.0869 -29.1457 -29.2119 -29.2861 -29.3676 -29.4571 -29.5536 -29.6555 -29.7613 -29.8701 -29.9805 -30.0900 -30.1976 -30.3021 -30.4014 -30.4953 -30.5833 -30.6642 -30.7390 -30.8066 -30.8682 -30.9241 -30.9743 -31.0197 -31.0612 -31.0981 -31.1319 -31.1626 -31.1906 -31.2160 -31.2394 -31.2605 -31.2798 -31.2977 -31.3139 -31.3289 -31.3428 -31.3555 -31.3675 -31.3784 -31.3886 -31.3980 -31.4067 -31.4149 -31.4225 -31.4294 -31.4360 -31.4424 -31.4481 -31.4538 -31.4590 -31.4638 -31.4684 -31.4728
     5.300 -28.7787 -28.7960 -28.8146 -28.8355 -28.8590 -28.8857 -28.9162 -28.9510 -28.9903 -29.0361 -29.0874 -29.1462 -29.2124 -29.2866 -29.3681 -29.4576 -29.5541 -29.6560 -29.7618 -29.8706 -29.9810 -30.0905 -30.1981 -30.3026 -30.4019 -30.4958 -30.5837 -30.6647 -30.7394 -30.8071 -30.8687 -30.9246 -30.9747 -31.0202 -31.0616 -31.0986 -31.1324 -31.1631 -31.1910 -31.2165 -31.2398 -31.2609 -31.2803 -31.2982 -31.3144 -31.3294 -31.3433 -31.3560 -31.3680 -31.3789 -31.3891 -31.3985 -31.4072 -31.4154 -31.4229 -31.4299 -31.4365 -31.4429 -31.4486 -31.4543 -31.4595 -31.4643 -31.4689 -31.4733
     5.320 -28.7789 -28.7962 -28.8148 -28.8357 -28.8592 -28.8859 -28.9164 -28.9512 -28.9904 -29.0363 -29.0875 -29.1463 -29.2125 -29.2867 -29.3682 -29.4577 -29.5541 -29.6559 -29.7617 -29.8705 -29.9808 -30.0902 -30.1979 -30.3022 -30.4015 -30.4954 -30.5832 -30.6641 -30.7388 -30.8065 -30.8681 -30.9239 -30.9740 -31.0195 -31.0609 -31.0978 -31.1316 -31.1623 -31.1903 -31.2157 -31.2390 -31.2601 -31.2795 -31.2974 -31.3136 -31.3286 -31.3425 -31.3552 -31.3672 -31.3781 -31.3883 -31.3977 -31.4064 -31.4146 -31.4221 -31.4291 -31.4357 -31.4421 -31.4478 -31.4535 -31.4587 -31.4635 -31.4681 -31.4725
     5.340 -28.7794 -28.7966 -28.8152 -28.8361 -28.8596 -28.8863 -28.9168 -28.9516 -28.9909 -29.0367 -29.0879 -29.1467 -29.2129 -29.2871 -29.3685 -29.4580 -29.5544 -29.6563 -29.7620 -29.8708 -29.9811 -30.0905 -30.1981 -30.3024 -30.4016 -30.4955 -30.5833 -30.6642 -30.7389 -30.8065 -30.8681 -30.9239 -30.9740 -31.0195 -31.0609 -31.0978 -31.1316 -31.1623 -31.1902 -31.2157 -31.2390 -31.2601 -31.2795 -31.2974 -31.3136 -31.3286 -31.3425 -31.3552 -31.3672 -31.3781 -31.3882 -31.3977 -31.4064 -31.4145 -31.4221 -31.4291 -31.4357 -31.4421 -31.4478 -31.4535 -31.4586 -31.4634 -31.4680 -31.4724
