Name,agn_frac,agn_frac_mir,alpha,chi2,lir_total,norm
MCG-01-09-045,0.0,0.0,2.1875,2.36938722072,9.25553341506,0.0261616169261
MCG-01-13-025,0.7026,0.9,2.25,0.411216491015,9.80424220126,0.110821385152
MCG-01-24-012,0.392,0.7,2.375,17.7463363569,10.5056061781,0.37637198937
MCG-01-30-041,0.0737,0.3,1.8125,2.790650315,10.4880871328,0.0874987292876
MCG-01-33-063,0.0,0.0,3.125,14.3496266285,10.2787074826,0.162874189542
MCG-01-40-001,0.0,0.0,1.875,16.3680036564,10.7433271865,0.109899742975
MCG-02-08-014,0.3719,0.7,2.1875,18.3198911998,10.0728661536,0.146481499956
MCG-02-08-038,0.6328,0.85,2.875,4.55812512169,10.6024476434,0.274432453805
MCG-02-12-050,0.1011,0.3,2.25,10.1618971186,10.8265825031,0.151487337551
MCG-02-14-009,0.5299,0.8,2.4375,1.07180519336,10.7691736539,0.369331637429
MCG-03-04-072,0.737,0.9,3.1875,12.3802438982,10.9463470545,0.351853963192
MCG-03-34-064,0.4161,0.85,1.375,23.1103524712,11.2097882429,0.194248365552
MCG-05-23-016,0.6763,0.95,0.4375,17.8196851267,10.3980313386,0.00921624507671
MCG-06-30-015,0.7227,0.95,1.5,7.11687683951,10.2244274943,0.18943184648
MCG-07-03-007,0.4705,0.8,2.0,12.234903594,10.5965422763,0.112644847889
Mrk1018,0.8588,0.95,3.9375,21.6861265802,10.8564132468,0.416650922457
Mrk10,0.0677,0.2,2.5625,27.4117128907,10.731183613,0.273065786171
Mrk1210,0.5656,0.9,1.5625,20.2497647295,10.6279924167,0.181154713184
Mrk1310,0.3798,0.7,2.25,0.387481580002,9.83880409364,0.0689574004486
Mrk1392,0.4581,0.75,2.4375,7.2695106713,10.9463977749,0.330999728957
Mrk18,0.0,0.0,1.625,14.2222828273,10.1578295066,0.0461242539869
Mrk198,0.1754,0.55,1.75,17.1630362462,10.5476997543,0.0591887225742
Mrk202,0.292,0.65,2.0,2.31833287936,9.92168930285,0.043054849571
Mrk279,0.4966,0.85,1.75,5.22849972962,11.034830482,0.158940335023
Mrk290,0.7561,0.95,1.6875,6.93505501842,10.6285869653,0.0627002148421
Mrk335,0.7227,0.95,1.5,14.8791001624,10.6962183348,0.0493351836815
Mrk348,0.6777,0.9,2.0625,6.93031259048,10.631188703,0.613240993516
Mrk359,0.2217,0.65,1.625,11.6177936604,10.5313072173,0.0774265286537
Mrk3,0.0158,0.1,1.5625,8.03689147338,10.437693612,0.0480201938681
Mrk417,0.7791,0.95,1.8125,6.32041605949,10.6444176397,0.0768917282427
Mrk477,0.327,0.8,1.3125,8.04895068179,11.2568049485,0.0281353369156
Mrk509,0.5656,0.9,1.5625,12.2743421801,11.4577753978,0.182650018913
Mrk590,0.3175,0.6,3.125,7.91088632285,10.8029232445,0.675868825147
Mrk595,0.329,0.7,1.9375,4.36215490961,10.4771507831,0.0828872251134
Mrk618,0.3431,0.75,1.75,7.96593530186,11.5858174946,0.363649999704
Mrk653,0.4734,0.75,2.75,6.61332267675,10.7482635456,0.191096864971
Mrk6,0.6404,0.9,1.875,6.3782721121,10.8587359774,0.432261125335
Mrk704,0.7791,0.95,1.8125,23.0763017295,10.9458027133,0.194238368297
Mrk739E,0.1467,0.45,1.9375,35.2933427424,11.0203972674,0.194806805894
Mrk766,0.234,0.7,1.4375,12.8515680846,10.7305713787,0.10859910357
Mrk79,0.5806,0.85,2.125,5.0295279407,11.1374833687,0.960779646752
Mrk817,0.4505,0.85,1.5625,10.761895867,11.4151350239,0.182580353336
Mrk841,0.6871,0.95,1.1875,9.04915451948,11.1334176387,0.0185443368255
Mrk885,0.0264,0.1,2.125,12.12034317,10.2394054801,0.0582597236596
Mrk926,0.5286,0.85,1.875,2.89562599986,11.3315576355,0.187535263149
Mrk975,0.5435,0.85,1.9375,26.8679426816,11.5414591425,0.316652088101
NGC1052,0.6541,0.9,1.9375,10.0176015794,9.54311474146,0.433006120466
NGC1106,0.2682,0.6,2.125,14.9240112208,10.3422774735,0.305963615347
NGC1125,0.1058,0.45,1.5625,5.79784364011,10.3572355318,0.082474791022
NGC1194,0.7791,0.95,1.8125,18.976344418,10.5287413845,0.351906513994
NGC1365,0.0,0.0,2.0,19.6325549296,11.0869086004,10.7662014594
NGC2110,0.2443,0.65,1.75,13.5906587923,10.4223461242,0.431420349998
NGC235A,0.0694,0.3,1.75,11.3420745817,10.8189723105,0.106472730876
NGC2655,0.1899,0.45,2.5,32.686171733,9.73139969642,0.827192388967
NGC2885,0.1939,0.45,2.625,12.4240859223,10.2710406139,0.138365670414
NGC2992,0.0097,0.05,1.8125,8.57908413431,10.4094571616,0.413453428255
NGC3035,0.0,0.0,2.5625,32.9833181461,10.1062801475,0.248537225713
NGC3079,0.0,0.0,2.0625,31.4187906301,11.0420962581,5.57886849917
NGC3081,0.363,0.7,2.125,14.0842036834,10.2268508137,0.93319509711
NGC3227,0.1447,0.4,2.1875,8.37036529358,10.4937050625,2.43974816925
NGC3281,0.3286,0.75,1.6875,17.2695487465,10.8909616786,0.67979492337
NGC3393,0.2525,0.55,2.375,19.5731238625,10.4627663408,0.783653358278
NGC3431,0.1353,0.35,2.5625,15.7702033196,10.2867844328,0.29648609268
NGC3516,0.5524,0.9,1.5,7.70362695146,10.3374000616,0.16382737341
NGC3718,0.0344,0.1,3.9375,55.5887317386,9.11442196406,0.659967202238
NGC3783,0.5898,0.85,2.1875,7.56867028837,10.6710371024,2.29752243239
NGC3786,0.0526,0.2,2.0,0.0889828540021,10.0429834983,0.219912953951
NGC4051,0.0872,0.25,2.5,7.65992492217,10.2470671333,4.80768011051
NGC4102,0.0,0.0,1.6875,17.1953861278,10.6038668809,1.31633339163
NGC4138,0.0488,0.15,2.5625,0.674450871335,9.21599089979,0.704264084038
