# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 22.28  0.86398E+00    23
 22.29  0.85742E+00    23
 22.30  0.85086E+00    22
 22.31  0.84429E+00    22
 22.32  0.83424E+00    22
 22.33  0.83114E+00    23
 22.34  0.82455E+00    25
 22.35  0.82144E+00    26
 22.36  0.82181E+00    27
 22.37  0.81869E+00    29
 22.38  0.81557E+00    30
 22.39  0.81245E+00    31
 22.40  0.80584E+00    31
 22.41  0.79922E+00    30
 22.42  0.78910E+00    30
 22.43  0.77548E+00    29
 22.44  0.76185E+00    28
 22.45  0.74820E+00    27
 22.46  0.73454E+00    26
 22.47  0.72437E+00    25
 22.48  0.71769E+00    24
 22.49  0.71101E+00    24
 22.50  0.70782E+00    24
 22.51  0.70813E+00    24
 22.52  0.70494E+00    25
 22.53  0.70174E+00    25
 22.54  0.69855E+00    26
 22.55  0.69534E+00    27
 22.56  0.68863E+00    27
 22.57  0.68542E+00    28
 22.58  0.68220E+00    28
 22.59  0.67899E+00    28
 22.60  0.67929E+00    28
 22.61  0.67959E+00    28
 22.62  0.68693E+00    28
 22.63  0.69076E+00    28
 22.64  0.69812E+00    28
 22.65  0.70195E+00    28
 22.66  0.70932E+00    29
 22.67  0.70964E+00    29
 22.68  0.70995E+00    29
 22.69  0.71026E+00    29
 22.70  0.70704E+00    28
 22.71  0.70381E+00    28
 22.72  0.70412E+00    26
 22.73  0.70443E+00    24
 22.74  0.70474E+00    22
 22.75  0.70860E+00    21
 22.76  0.71245E+00    19
 22.77  0.71631E+00    19
 22.78  0.72017E+00    18
 22.79  0.72049E+00    19
 22.80  0.71726E+00    19
 22.81  0.71757E+00    19
 22.82  0.71078E+00    20
 22.83  0.70398E+00    21
 22.84  0.69362E+00    23
 22.85  0.68680E+00    24
 22.86  0.67998E+00    26
 22.87  0.67672E+00    27
 22.88  0.67345E+00    28
 22.89  0.67374E+00    28
 22.90  0.67404E+00    28
 22.91  0.67790E+00    28
 22.92  0.67820E+00    29
 22.93  0.68206E+00    30
 22.94  0.68593E+00    31
 22.95  0.68588E+00    33
 22.96  0.68617E+00    35
 22.97  0.68647E+00    37
 22.98  0.69035E+00    38
 22.99  0.69065E+00    39
 23.00  0.69812E+00    39
 23.01  0.70200E+00    38
 23.02  0.70948E+00    37
 23.03  0.71696E+00    36
 23.04  0.72445E+00    34
 23.05  0.72835E+00    34
 23.06  0.73226E+00    34
 23.07  0.73258E+00    33
 23.08  0.72930E+00    33
 23.09  0.72962E+00    33
 23.10  0.72633E+00    31
 23.11  0.71945E+00    29
 23.12  0.71616E+00    27
 23.13  0.71287E+00    25
 23.14  0.70993E+00    23
 23.15  0.70663E+00    22
 23.16  0.70694E+00    20
 23.17  0.70364E+00    20
 23.18  0.69672E+00    19
 23.19  0.69341E+00    18
 23.20  0.68648E+00    18
 23.21  0.67593E+00    18
 23.22  0.66899E+00    18
 23.23  0.65481E+00    18
 23.24  0.64062E+00    18
 23.25  0.63003E+00    18
 23.26  0.61581E+00    18
 23.27  0.60520E+00    19
 23.28  0.59459E+00    19
 23.29  0.58759E+00    20
 23.30  0.58058E+00    20
 23.31  0.57720E+00    21
 23.32  0.57019E+00    23
 23.33  0.56316E+00    24
 23.34  0.55977E+00    25
 23.35  0.55274E+00    27
 23.36  0.54570E+00    27
 23.37  0.53865E+00    28
 23.38  0.53160E+00    28
 23.39  0.52454E+00    27
 23.40  0.51748E+00    27
 23.41  0.51405E+00    26
 23.42  0.51063E+00    25
 23.43  0.50719E+00    25
 23.44  0.50376E+00    24
 23.45  0.50398E+00    24
 23.46  0.50054E+00    24
 23.47  0.49710E+00    23
 23.48  0.49365E+00    23
 23.49  0.48654E+00    23
 23.50  0.47943E+00    24
 23.51  0.47231E+00    24
 23.52  0.46519E+00    25
 23.53  0.45439E+00    26
 23.54  0.44725E+00    27
 23.55  0.44378E+00    27
 23.56  0.43663E+00    28
 23.57  0.43314E+00    29
 23.58  0.43332E+00    29
 23.59  0.42983E+00    30
 23.60  0.43002E+00    30
 23.61  0.43388E+00    29
 23.62  0.43406E+00    29
 23.63  0.43424E+00    29
 23.64  0.43443E+00    28
 23.65  0.43461E+00    28
 23.66  0.43480E+00    29
 23.67  0.43498E+00    29
 23.68  0.43516E+00    29
 23.69  0.43535E+00    30
 23.70  0.43922E+00    31
 23.71  0.43941E+00    32
 23.72  0.44329E+00    32
 23.73  0.44717E+00    32
 23.74  0.45105E+00    32
 23.75  0.45124E+00    32
 23.76  0.45143E+00    32
 23.77  0.45162E+00    32
 23.78  0.45181E+00    31
 23.79  0.44830E+00    32
 23.80  0.44849E+00    32
 23.81  0.44497E+00    32
 23.82  0.44515E+00    33
 23.83  0.44163E+00    33
 23.84  0.44182E+00    35
 23.85  0.44572E+00    36
 23.86  0.44590E+00    38
 23.87  0.44981E+00    41
 23.88  0.45743E+00    43
 23.89  0.46134E+00    46
 23.90  0.46898E+00    49
 23.91  0.47290E+00    51
 23.92  0.47682E+00    53
 23.93  0.48075E+00    54
 23.94  0.48468E+00    55
 23.95  0.48861E+00    55
 23.96  0.49255E+00    54
 23.97  0.49275E+00    53
 23.98  0.49669E+00    52
 23.99  0.50064E+00    51
 24.00  0.50458E+00    50
 24.01  0.50853E+00    49
 24.02  0.51623E+00    48
 24.03  0.52018E+00    47
 24.04  0.52789E+00    45
 24.05  0.53560E+00    44
 24.06  0.53957E+00    43
 24.07  0.54354E+00    41
 24.08  0.54377E+00    39
 24.09  0.54774E+00    37
 24.10  0.54797E+00    36
 24.11  0.54820E+00    34
 24.12  0.54843E+00    34
 24.13  0.54865E+00    34
