Name,alpha,alpha_16,alpha_84,lir_bb,lir_bb_16,lir_bb_84,lir_powlaw,lir_powlaw_16,lir_powlaw_84,lir_total,lir_total_16,lir_total_84,mdust,mdust_16,mdust_84,norm_pow,norm_pow_16,norm_pow_84,tdust,tdust_16,tdust_84,wturn,wturn_16,wturn_84
114,0.19759241,0.069202169,0.436101633,10.48767003,10.46312153,10.50907489,10.06269235,10.04589828,10.07379593,10.62624324,10.60818317,10.63984248,7.884044817,7.865316539,7.903523352,0.769845366,0.689561484,0.876556519,23.30561906,22.96118482,23.64044085,48.7480049,33.90485804,66.27154194
115,1.132755991,0.688270548,1.62650474,8.453540171,8.423031985,8.474827773,8.06673276,8.000966254,8.151395379,8.602878175,8.583181604,8.625817165,6.02077422,5.975894695,6.06894366,-0.810159028,-1.003399505,-0.588619017,21.82664863,21.21705234,22.41936099,48.48871579,31.28262347,67.8400288
117,-0.024872444,-0.222315474,0.197023312,9.481880575,9.468389474,9.517679096,8.854836219,8.808878877,8.852325859,9.573907379,9.560116369,9.598968179,7.205147005,7.178521563,7.232403545,-0.820636102,-0.972160747,-0.683385669,20.55820849,20.16239924,20.95423221,50.61450392,35.1391867,66.70192075
119,-0.10345398,-0.234653888,0.104525249,9.317787291,9.286511311,9.33649945,8.805883529,8.798333845,8.818724845,9.43428806,9.410068288,9.449959746,6.784602072,6.745376269,6.823113354,-0.641680054,-0.760495938,-0.500510739,22.6841106,22.2064797,23.17402511,48.32630007,35.03956945,65.45947773
11,0.123577402,-0.097833756,0.400605148,9.265796111,9.261477048,9.297299689,8.764162582,8.72252286,8.748555322,9.384735259,9.373858598,9.403881457,6.9042687,6.885112437,6.92461563,-0.66134491,-0.812804681,-0.514527581,21.23809166,20.91893506,21.55102015,49.61625053,32.79287252,68.26450527
120,-0.313446941,-0.543788325,-0.037780367,9.171639173,9.142508384,9.187794891,8.646695638,8.629149971,8.664905372,9.285106906,9.263430696,9.298555758,6.886554514,6.849447607,6.923812684,-0.914676297,-1.117959917,-0.715034282,20.62418973,20.14893981,21.09653622,48.3809175,33.19851352,65.29998956
121,-0.097019815,-0.272708653,0.17322054,9.520103605,9.501758319,9.537473921,8.961618758,8.947396226,8.974203178,9.626085445,9.61064268,9.641521411,7.225512377,7.2099534,7.242572343,-0.740156597,-0.883601721,-0.570221739,20.69955827,20.44605131,20.93671118,47.00183947,32.32148475,65.09146296
122,0.140476156,0.014503907,0.331743789,10.45274728,10.43086508,10.47429971,10.00957442,10.00009494,10.0223317,10.58642513,10.56938985,10.60322023,8.059068223,8.034295554,8.087207218,0.690659456,0.602895846,0.788432868,21.50172917,21.13546783,21.86617955,47.30147394,35.20047762,64.54510788
123,-0.302267218,-0.626533959,0.079123965,8.764413228,8.702204396,8.847437886,8.278423402,8.247446352,8.299313758,8.887151742,8.841009737,8.94834582,6.640522671,6.583753996,6.697799665,-1.271105777,-1.52778239,-1.016637605,19.38724365,18.5583882,20.21687138,47.29312026,30.4142102,65.96129644
124,-0.085742369,-0.085836599,-0.085646773,9.43339827,9.433395467,9.433493146,8.530580718,8.530523897,8.530740565,9.484581072,9.484572264,9.484683171,6.64688484,6.64677688,6.64699663,-0.894971382,-0.895083531,-0.894841622,24.99998219,24.99990471,25.00008424,44.99998777,44.99989238,45.00007933
